Light,Blue,Broad,Green,Red,Nutrient,nut_ord,Micro_Rep,Treatment,Microcosm,Survived,Mass,JSG,jsgr_neg,filamentous,non_fil,green,crypto,diatom,dino
Broad,0,1,0,0,High,2,1,Broad_HP,Broad_HP_R1,0,0,0,-1,2318428.571,45000,46142.85715,0,0,0
Broad,0,1,0,0,High,2,1,Broad_HP,Broad_HP_R1,0,0,0,-1,2318428.571,45000,46142.85715,0,0,0
Broad,0,1,0,0,High,2,1,Broad_HP,Broad_HP_R1,0,0,0,-1,2318428.571,45000,46142.85715,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,2,Broad_HP,Broad_HP_R2,0,0,0,-1,0,0,267571.4286,0,0,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,High,2,3,Broad_HP,Broad_HP_R3,0,0,0,-1,7238.095239,619.047619,7380.952381,2238.095238,95.23809524,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,1,19.7,0.308580385,0.308580385,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,1,20.6,0.319748495,0.319748495,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,1,24.2,0.360013885,0.360013885,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,1,25.3,0.371126825,0.371126825,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,1,23.7,0.354794488,0.354794488,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,1,14.7,0.2353876,0.2353876,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,1,Broad_LP,Broad_LP_R1,0,0,0,-1,27857.14286,55428.57142,13714.28571,0,1571.428572,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,1,7.1,0.053449422,0.053449422,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,1,6,0.011365594,0.011365594,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,1,6.3,0.023563135,0.023563135,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,1,7.8,0.07695666,0.07695666,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,1,5.6,-0.005882624,-0.005882624,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,0,0,0,-1,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,2,Broad_LP,Broad_LP_R2,0,0,0,-1,123571.4286,585428.5715,10285.71429,0,0,0
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,14.7,0.2353876,0.2353876,143000,478142.8571,15428.57143,0,857.1428573,0
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,15.8,0.253428211,0.253428211,143000,478142.8571,15428.57143,0,857.1428573,0
